Código de reporte / ticket,Fecha de reporte,Módulo,Plataforma,Version,Sistema operativo,Dispositivo utilizado,Versión de navegador / app,Tipo de incidencia,Prioridad,Título,Descripción,Pasos para reproducir,Sugerencia,Evidencia,Reporter,Estatus de resolución - Desarrollador,Desarrollador que coloca el estatus,Fecha de resolucion,Version de la solucion,Estatus de resolución - Tester,Tester que coloca el estatus,Fecha de revision
EDEN-461,26/1/2023,Web admin/Eden,Mobile,1.0.12/Produccion,IOS 16.2,,N/A,Error,Alta,Error en no verse las actas que se carguen en el apartado de eden y tampoco la verificacion al momento de ser aprobadas,"Nota: Esto es que falto implementarlos muchachos no es un error, las actas cargadas al momento de la creacion de un eden no se esta viendo reflejadas en la web y al momento que esa acta esa aprobada debe estar veridicado en el perfil del eden","1.Ingresar a la app
2.Ubicar la opcion de Eden.
3.Compartir un eden.","Nota: Esto no tiene evidencia , como se mencionada no se a implemtado pero debe estar.",EVIDENCIA 461,Victor Moreno,Corregido,Cesar G,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-462,30/1/2023,Inicio de sesion,Mobile,1.0.14,Android 11,,N/A,Error,Alta,Error al momento de iniciar sesion con google,El error ocurre cuando el usuario desea iniciar por google con un correo que ya se encuentra registrado por este medio y el sistema no hace nada al momento de seleccionar la cuenta.,"1.Ingresar a la app
2.Ubicar la opcion de iniciar sesion con google.
3.Seleccionar la cuenta de google.",,EVIDENCIA 462,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-463,30/1/2023,Eden/Tutoriales,Mobile,1.0.14,Android 11,,N/A,Error,Alta,Error al momento de crear un eden en los tutoriales,El error ocurre cuando el usuario esta siguiendo el tutorial y al momento de llegar a crear un eden el mismo se corta y ya no le brinda mas informacion al usuario.,"1.Ingresar a la app
2.Ubicar la opcion de Eden.
3.Crear un eden.",,EVIDENCIA 463,Victor Moreno,Corregido - Hasta ahi llega el tutorial definido por productos,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-464,30/1/2023,Eden/Tutoriales,Mobile,1.0.14,Android 11,,N/A,Error,Media,Error al momento de  no mostrar las insignias asignadas,El error ocurre cuando al momento de otorgar una insigna en el tutorial la misma no se ve reflejada cuando se otorga y en el tutorial le informa al cliente que aqui puede ver las insignas que acaba de dejar.,"1.Ingresar a la app
2.Ubicar la opcion de Eden.
3.Dejar una insignia.",,EVIDENCIA 464,Victor Moreno,"No se puede observar la evidencia, el formato del video no deja reproducirlo",Omar E,07/03/23,"1,0,27",,,
EDEN-465,31/01/2023,Arcas,Mobile,1.0.16,Android 11,,N/A,Error,Media,Error al momento de ver la informacion de un arca,"Al momento que el usuario va a ver la informacion de un arca que fue creada por la opcion de credenciales - redes sociales , en el ultimo apartado que dice ""Usuario de la plataforma"" , si la informacion es muy larga al momento de verla se corta por lo cual no se ve la informacion completa que dejo el usuario que envio el arca","1.Ingresar a la app
2.Ubicar la opcion de Arca.
3.Crear u arca.",,EVIDENCIA 465,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",NO SOLUCIONADO ,Victor Moreno,
EDEN-466,31/01/2023,Landing,WEB,1.0.6,Windows 10,,Versión 107.0.5304.107,Error,ALTA,Error al aceptar mas de 20 insignias para otorgar,El error ocurre que en la app movil el limite es de 20 y en la web no esta de la misma forma,"1.Ingresar a la web de be soul
2.Ubicar la opcion de eden
3.Entregar una insignia.",,EVIDENCIA 466,Victor Moreno,NO ENTIENDO COMO ESTO ES UNA INCIDENCIA ALTA,Carlos S,,,,,
EDEN-467,31/01/2023,Eden,Mobile,1.0.16,Android 11,,N/A,Error,Media,Error en el ultimo pop up al momento de otorgar una insignia ,El error ocurre cuando en el ultimo pop up para ver las insignias que otorgaste se queda en negro.,"1.Ingresar a la app
2.Ubicar la opcion de Eden.
3.Dejar una insignia.",,EVIDENCIA 467,Victor Moreno,Corregido,Omar E,07/03/23,"1,0,27",,,
EDEN-468,31/01/2023,Eden,Mobile,1.0.16,Android 11,,N/A,Error,ALTA,Error al momento que vez los comentarios y el boton de dar insignia no desaparece,El error ocurre cuando el usuario desliza para ver los comentarios de un eden y el boton de dar insignia no desaparece,"1.Ingresar a la app
2.Ubicar la opcion de Eden.
3.Dejar una insignia.",,EVIDENCIA 468,Victor Moreno,Corregido,Omar E,16/02/23,"1,0,22",NO SOLUCIONADO ,Victor Moreno,
EDEN-469,2/2/2023,Eden,Mobile,1.0.17,IOS 16.2,,N/A,Error,Alta,Error al momento de no ver las personas las cuales se le invito a un eden ,"El error ocurre al momento que el usuario esta enviando la invitacion a un tercero o a un usuario dentro de la app , los mismo no se ven reflejados en el aparatdo de mi circulo en eden","1.Ingresar a la app
2.Ubicar la opcion de Eden.
3.Invitar a un eden .",,EVIDENCIA 469,Victor Moreno,,,,,,,
EDEN-470,2/2/2023,Inicio de sesion,Mobile,1.0.17,Android 11,,N/A,Error,ALTA,Error al momento de desplegar los paises y solo tenemos 3 y en ios estan todos,El error ocurre cuando en ios se tienen diferentes paises y en android solo 3,"1.Ingresar a la app
2.Crear una cuenta
",,EVIDENCIA 470,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-471,2/2/2023,Profile,Mobile,1.0.17,Android 11 / IOS 16.2,,N/A,Error,ALTA,Error al momento de enviar una invitacion para ser parte de tu circulo ,El error ocurre que no tiene implementada la plantilla correspondiente,"1.Ingresar a la app
2.Ubicar la opcion de profile.
3.Invitar a alguien a tu circulo.",,EVIDENCIA 471,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-472,03/02/2023,Creacion de cuenta,Mobile,1.0.18,Android 11 / IOS 16.2,,N/A,Error,Baja,Error en el modal de creacion de cuenta al momento de colocar el correo y darle continuar,El error ocurre cuando se modifica la letra al maximo y al momento que el usuario esta creando la cuenta se corta la informacion en ese modal ,"1.Ingresar a la app
2.Ubicar la opcion de creacion de cuenta",,EVIDENCIA 472,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-473,03/02/2023,Creacion de cuenta,Mobile,1.0.18,Android 11,,N/A,Error,Media,Error al momenot de colocar el codigo de validacion del correo se corta,El error ocurre cuando se modifica la letra al maximo y al momento que se coloca el codigo de confirmacion del correo se corta un poco,"1.Ingresar a la app
2.Ubicar la opcion de creacion de cuenta",,EVIDENCIA 473,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-474,03/02/2023,Creacion de cuenta,Mobile,1.0.18,Android 11,,N/A,Error,Baja,Error en la pantalla de inicio de la app al momento de comenzar el recorrido ,El error ocurre cuando se modifica la letra al maximo y al momento de que se ve la pantalla de inicio del recorrido la misma se corta informacion,"1.Ingresar a la app
2.Ubicar la opcion de creacion de cuenta",,EVIDENCIA 474,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-475,03/02/2023,Tutoriales en todos los modulos,Mobile,1.0.18,Android 11 / IOS 16.2,,N/A,Error,Media,El error esta en casi todo la seccion de tutoriales ya que se corta la informacion,El error ocurre cuando se modifica la letra al maximo y se desea ver los tutoriales en toda la app en su totalidad la informacion se corta.,"1.Ingresar a la app
2.Ubicar la opcion de creacion de cuenta","Nota: Esta evidecnia cuenta con 18 imagenes , peor todas estan bajo esta secuencia Evidencia-475.1, Evidencia-475.2 y de ese modo hasta llegar a las 18",EVIDENCIA 475,Victor Moreno,Corregido,Carlos S,,,,,
EDEN-476,03/02/2023,Profile,Mobile,1.0.18,Android 11,,N/A,Error,Media,Error al momento de buscar las personas para invitar a tu circulo y se corta la lista al final,El error ocurre cuando se modifica la letra al maximo y se  busca a una persona en particular y la app trae toda la informacion al bajar completamente el usuario del final se corta ,"1.Ingresar a la app
2.Ubicar la opcion de profile.
3.Invitar a alguien a tu circulo.",Nota: Esta incidencia omar ya la sabe cual es por que ya la arreglado como 3 veces,EVIDENCIA 476,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-477,03/02/2023,Profile,Mobile,1.0.18,Android 11,,N/A,Error,Baja,Error en el modulo de notificacione al momento de ver las personas que no han aceptado la invitacion ,"El error ocurre que la frase de ""Pendiente"" , se corta al momento de buscar los usuarios que se le envio la invitacion al circulo","1.Ingresar a la app
2.Ubicar la opcion de profile.
3.Invitar a alguien a tu circulo.",,EVIDENCIA 477,Victor Moreno,Corregido,Carlos S,,,,,
EDEN-478,03/02/2023,Arcas,Mobile,1.0.18,Android 11,,N/A,Error,Baja,Error al momento de que se cargar un arca y una parte de la informacion del arca se corta,"El error ocurre cuando se modifica la letra al maximo y al momento de que se genera un arca , parte de la informacion de la arca ya creada se corta.","1.Ingresar a la app
2.Ubicar la opcion de Arcas.
3.Generar arca.",,EVIDENCIA 478,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-479,03/02/2023,Arcas,Mobile,1.0.18,Android 11 / IOS 16.2,,N/A,Error,Baja,"Error al inicia del flujo de arcas guiadas ""Recetas""","El error ocurre cuando se modifica la letra al maximo y al momento de crear una arca guiada en el flujo de ""Recetas"" , las primeras pantalla de esta se corta una parte de la informacion","1.Ingresar a la app
2.Ubicar la opcion de Arcas.
3.Generar arca.",,EVIDENCIA 479,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-480,03/02/2023,Key,Mobile,1.0.18,Android 11,,N/A,Error,Media,Error al momento de ver una llave que se le fue enviada al usuario ,El error ocurre cuando se modifica la letra al maximo y se observa una llave que recibio un usuario la informacion se ve cortada.,"1.Ingresar a la app
2.Ubicar la opcion de llaves.
3.Ver llaves.",,EVIDENCIA 480,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-481,03/02/2023,Recuperacion de cuenta,Mobile,1.0.18,Android 11,,N/A,Error,Baja,Error al momento de cambiar la contraseña ,"El error ocurre cuando se modifica la letra al maximo y realizar reinicio de contraseña , al momento que se esta colocando la contraseña, la palabra ""Muy segura"" se corta","1.Ingresar a la app
2.Ubicar la opcion de cambio de contraseña.
3.Colocar la contraseña.",,EVIDENCIA 481,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-482,03/02/2023,Inicio de sesion,Mobile,1.0.18,IOS 16.2,,N/A,Error,Alta,Error al momento de poder ingresar a las configuraciones de profile y a poder agregar usuarios a tu circulo,El error ocurre cuando el usuario no puede ingresar a la seccion de configuracion del perfil y tampoco poder invitar a su circulo,"1.Ingresar a la app
2.Ubicar la opcion de Profile
",,EVIDENCIA 482,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-483,06/02/2023,Arcas,Mobile,1.0.19,Android 11,,N/A,Error,Alta,"Error al momento de cargar una segunda arca en ""Recetas""","El error ocurre cuando el usuario carga automaticamente una segunda arca al momento de realizar la primera, el sistema deja la informacion del arca anterior en la parte de ""descripcion de la receta"".","1.Ingresar a la app
2.Ubicar la opcion de arcas ""recetas""
3.Crear un arca automaticamente luego de la primera ya creada.",,EVIDENCIA 483,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-484,06/02/2023,Eden,Mobile,1.0.19,Android 11,,N/A,Error,Media,Error en seleccionar la fecha de nacimiento de un eden,El error ocurre cuando el sistema permite una fecha mayor que en la que estamos hoy en fecha de nacimiento al momento de crear un eden.,"1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden.",,EVIDENCIA 484,Victor Moreno,Corregido,Carlos S,,,,,
EDEN-485,06/02/2023,Eden,Mobile,1.0.19,Android 11,,N/A,Error,Alta,Error al momento de hacer scroll en las publicaciones y el boton de dar insignia no se quita ,El error ocurre cuando el usuario desea hacer scroll por los comentarios para verlos y el boton de dar insignia no se quita.,"1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden.",,EVIDENCIA 485,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",NO SOLUCIONADO ,Victor Moreno,
EDEN-486,06/02/2023,Key,Mobile,1.0.19,Android 11,,N/A,Error,Alta,Error al momento de cargar la acta,El error ocurre cuando el usuario desea cargar la el acta y le da al boton de siguiente y el mismo cargar pero no hace nada,"1.Ingresar a la app
2.Ubicar la opcion de llaves 
3.Cargar las actas.",,EVIDENCIA 486,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-487,07/02/2023,Eden,Mobile,1.0.19,Android 11,,N/A,Error,Alta,Error al momento de hacer la invitacion a un tercero para un eden,"El error ocurre cuando se hace la invitacion a un tercero a un eden , y el mismo al momento de indicarte que ya fue enviada la solicitud solo aparece el avatar sin el correo y se queda sin informacion.","1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden.",,EVIDENCIA 487,Victor Moreno,,,,,,,
EDEN-488,07/02/2023,Recuperacion de cuenta,Mobile,1.0.19,Android 11,,N/A,Error,Alta,Error al no tener el boton de reenviar codigo en el apartado de olvido de contraseña,El error ocurre cuando el usuario va a restablecer contraseña y en este apartado no esta la opcion de reenvio de codigo.,"1.Ingresar a la app
2.Ubicar la opcion de restablecer cuenta
","Nota: Validar que esto este en todas las secciones donde se puede hacer la solicitud de un OTP, como lo es creacion , restablecer la contraseña y profile",EVIDENCIA 488,Victor Moreno,,,,,,,
EDEN-489,07/02/2023,Creacion de cuenta,Mobile,1.0.19,Android 11,,N/A,Error,Alta,Error al momento de oprmir el boton de reenvio del codigo y el mismo no hace nada.,"El error ocurre cuando el boton de reenviar codigo al momento de creacion de cuenta no funciona , no reenvia el codigo nuevamente y tampoco incia el conteto del los 15 segundo para la llegada del codigo en el boton de continuar","1.Ingresar a la app
2.Ubicar la opcion de creacion de cuenta
",,EVIDENCIA 489,Victor Moreno,,,,,,,
EDEN-490,08/02/2023,Profile,Mobile,1.0.19,Android 11,,N/A,Error,Alta,Error al momento de realizar el cambio de la contraseña en profile,"El error ocurre cuando el usuario desea realizar un cambio de contraseña por profile y al momento de colocar la contraseña actual y pasar a la pantalla que le informa que se le va a enviar un codigo de confirmacion , al momento de darle aceptar el boton no funcionada","1.Ingresar a la app
2.Ubicar la opcion de profile
3.Cambiar la contraseña.",,EVIDENCIA 490,Victor Moreno,Corregido,Omar E/Joel G,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-491,10/02/2023,Landing,WEB,1.11,Windows 10,,Versión 107.0.5304.107,Error,Baja,Error al en la seccion de planes de la web,El error esta en que la seccion de planes el color de las letras no es el mismo que el figma y tambien hay unos botones que no estan presentes,"1.Ingresar a la aplicacion web https://qa.besoul.app/
2.Ubicar la opcion de planes
3.Validar con el figma.",,EVIDENCIA 491,Victor Moreno,,,,,,,
EDEN-492,10/02/2023,Landing,WEB,1.11,Windows 10,,Versión 107.0.5304.107,Error,Media,Error en los terminos y condiciones,"El error esta que la seccion de terminos y condiciones no esta como en el figma,","1.Ingresar a la aplicacion web https://qa.besoul.app/
2.Ubicar la opcion de terminos y condiciones.
3.Validar con el figma.",,EVIDENCIA 492,Victor Moreno,,,,,,,
EDEN-493,10/02/2023,Landing,WEB,1.11,Windows 10,,Versión 107.0.5304.107,Error,Media,Error en la seccion de support,"El error ocurre cuando los elementos estan mas grande que en el figma , en el figma la seccion de support no tapa el footer y se puede ver los demas elementos de la web.","1.Ingresar a la aplicacion web https://qa.besoul.app/
2.Ubicar la opcion de support.
3.Validar con el figma.",,EVIDENCIA 493,Victor Moreno,,,,,,,
EDEN-494,13/02/2023,Eden,Mobile,1.0.20,Android 11,,N/A,Error,Media,Error al momento de validar eden y los terminos y  condiciones no se despliegan,El error ocurre cuando al momento de decidir si validar cargando un arca o los datos funerarios y darle clik en leer los terminos y condiciones no hace nada.,"1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden y vaidarlo.",,EVIDENCIA 494,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-495,13/02/2023,Eden,Mobile,1.0.20,Android 11,,N/A,Error,Media,Error al momento de ver el documento cargado para validar el eden,El error ocurre al momento ver el archivo cargado y el mismo no se puede ver.,"1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden y vaidarlo.",,EVIDENCIA 495,Victor Moreno,,,,,,,
EDEN-496,13/02/2023,Eden,Mobile,1.0.20,Android 11,,N/A,Error,Media,Error al momento de cargar mas de un archivo en la opcion de acta de defuncion en eden,El error ocurre cuando el usuario carga varios archivos en este apartado y choca con los botones que se encuentran en la parte de abajo,"1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden y vaidarlo.",,EVIDENCIA 496,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",,,
EDEN-497,13/02/2023,Eden,Mobile,1.0.20,Android 11,,N/A,Error,Media,Error en el campo de nombre del fallecido en el flujo de datos funerarios,"El error ocurre cuando el campo de nombre y apellido permite caracteres especiales y numeros, tambien no le informa al usuario la cantidad de caracteres que soporta este campo, este campo al ser un campo de nombre propio debe llevar la misma forma de la parte de creacion de cuenta.","1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden y vaidarlo.",,EVIDENCIA 497,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",,,
EDEN-498,13/02/2023,Eden,Mobile,1.0.20,Android 11,,N/A,Error,Media,Error en los campos de informacion de datos funerarios,El error esta que la informacion que esta en los campos se sale de la casilla de cada uno.,"1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden y vaidarlo.",,EVIDENCIA 498,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",NO SOLUCIONADO,Victor Moreno,
EDEN-499,13/02/2023,Eden,Mobile,1.0.20,Android 11,,N/A,Error,Media,Error en la fecha de fallecimiento en el flujo de datos funerarios,El error ocurre cuando en la fecha de fallecimiento te permite colocar fecha de 2024 en adelante y deberia estar solo para este año.,"1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden y vaidarlo.",,EVIDENCIA 499,Victor Moreno,Corregido,,,,SOLUCIONADO,Victor Moreno,
EDEN-500,13/02/2023,Eden,Mobile,1.0.20,Android 11,,N/A,Error,Media,Error en no tener el helper de que es obligatorio el campo de nombre y apellido del fallecido,El error ocurre cuando el campo no tiene el helper que le indique al usuario que es obligatorio este campo,"1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden y vaidarlo.",,EVIDENCIA 500,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-501,13/02/2023,Eden,Mobile,1.0.20,Android 11,,N/A,Error,Alta,Error al momento de colocar toda la informacion y el sistema no habilita el boton de siguiente,El error ocurre cuando el usuario coloca toda la informacion en los campos y el mismo no habilita el boton de siguientes.,"1.Ingresar a la app
2.Ubicar la opcion de  eden
3.Crear un eden y vaidarlo.",,EVIDENCIA 501,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-502,13/02/2023,Arcas,Mobile,1.0.20,Android 11,,N/A,Error,Alta,Error al momento de ver un arca,"El error ocurre al momento de darle click a la opcion de ver un arca, ya que al momento de seleccionar dicha opcion el sistema te bota de la app","1.Ingresar a la app
2.Ubicar la opcion de arcas
3.Ver un arca.",,EVIDENCIA 502,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-502,14/02/2023,Arcas,Mobile,1.0.21,Android 11,,N/A,Error,Alta,Erro al momento de cargar un arca con demasiado peso en archivos,"El error ocurre cuando el usuario desea cargar un archivo de 3 Gb y la app se queda en negro y no continua, el otro error es cuando se cargar un archivo de menos cantida que en total fueron 5 pdf y 15 imagenes , las cuales al momento de darle guardar para enviar las llaves se queda cargando y no hace nada.","1.Ingresar a la app
2.Ubicar la opcion de arcas
3.Crear un arca y vaidarl la cargar de archivos.",,EVIDENCIA 502,Victor Moreno,,,,,,,
EDEN-503,14/02/2023,Arcas,Mobile,1.0.21,Android 11,,N/A,Error,Alta,Error al momento de enviar las llaves de un arca en gestion de llaves,"El error ocurre cuando el usuario agrega a otra persona en gestion de llaves y al momento que le da enviar y vuelve a ver la lista de personas que se encuentran en el arca , se estan duplicando usuarios","1.Ingresar a la app
2.Ubicar la opcion de arcas
3.Crear un arca y vaidarl la cargar de archivos.",,EVIDENCIA 503,Victor Moreno,,,,,,,
EDEN-504,14/02/2023,Eden,Mobile,1.0.21,Android 11,,N/A,Error,Alta,Error al momento de compartir un eden ,El error ocurre cuando el usuario desea compartir un eden desde la opcion de los 3 puntos que tiene en el menu derecho y al momento que desea darle click al boton de finalizar,"1.Ingresar a la app
2.Ubicar la opcion de eden
3.Compartir.",,EVIDENCIA 504,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-505,14/02/2023,Eden,Mobile,1.0.21,Android 11,,N/A,Error,Alta,Error al momento de crear un eden y tratar de hacer scroll,"El error ocurre cuando al momento de crear un eden y luego querer hacer scroll al mismo, todo se pegado por completo.","1.Ingresar a la app
2.Ubicar la opcion de eden
3.Compartir.",Nota: Estoy muy seguro que esto se debe a que se coloco los 200 caractes al momento de crear el eden,EVIDENCIA 505,Victor Moreno,Corregido,Omar E,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-506,16/02/2023,Recuperacion de cuenta,Mobile,1.0.21,Android 11,,N/A,Error,Alta,Error al selecciona un pais para el numero de telefono,"El error ocurre cuando no deseas seleccionar ninguno y al momento de darle al boton para regresar , no te lo permite y no puedes pasar o volver al menos que selecciones uno.","1.Ingresar a la app
2.Ubicar la opcion de restablecer contraseña
3.Tratar de seleccionar uno.","Nota: Esto sucede en todas las parte donde se consume este servicio, para que se implemente la solucion en todos estos apartados",EVIDENCIA 506,Victor Moreno,Corregido,Carlos S,15/02/23,"1,0,22",SOLUCIONADO,Victor Moreno,
EDEN-507,16/02/2023,Inicio de sesion,Mobile,1.0.21,Android 11,,N/A,Error,Alta,Error al ingresar por google,El error ocurre cuando se intenta realizar el inicio de sesion por google y el mismo no lo permite,"1.Ingresar a la app
2.Ubicar la opcion de iniciar por google",,EVIDENCIA 507,Victor Moreno,Corregido,Omar E,"22/,02/23","1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-508,16/02/2023,Creacion de cuenta,Mobile,1.0.21,Android 11,,N/A,Error,Alta,Erro al momento de crear una cuenta,El error ocurre cuando se crea la cuenta y el usuario se encuentra en el apartado de numero de telefono y se coloca el mismo y la app se queda cargando y nunca continua.,"1.Ingresar a la app
2.Ubicar la opcion de creacion de cuenta",,EVIDENCIA 508,Victor Moreno,Corregido,Omar E,22/02/23,"1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-509,17/02/2023,Creacion de cuenta,Mobile,1.0.21,IOS 16.2,,N/A,Error,Alta,Error en la creacion de cuenta,El error ocurre al momento de aceptar los terminos y condicones y darle aceptar para que te llege el codigo de confirmacion no hace nada,"1.Ingresar a la app
2.Ubicar la opcion de creacion de cuenta",Nota:Este error ya la sabe omar y joel.,EVIDENCIA 509,Victor Moreno,Corregido,Omar E/Joel G,"22/,02/23","1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-510,17/02/2023,Creacion de cuenta,Mobile,1.0.21,IOS 16.2,,N/A,Error,Media,Error en los botones de terminos y condiciones,"El error ocurre al momento de aceptar los terminos y condicones, ya que los botones no tienen el mismo tamañano y tambien esta muy pegados al texto","1.Ingresar a la app
2.Ubicar la opcion de creacion de cuenta",,EVIDENCIA 510,Victor Moreno,Corregido,Omar E,22/02/23,"1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-511,17/02/2023,Eden,Mobile,1.0.21,IOS 16.2,,N/A,Error,Media,Error al tener el boton de siguiente habilitado en la seccion de datos funerarios,"El error ocurre cuando el boton se encuentra habilitado al momento de entrar a esta seccion sin conolocar ningun tipo de dato, mientras que en android se activa cuando se colocan los datos que son obligatorios","1.Ingresar a la app
2.Ubicar la opcion de eden
3.Crea un eden.",,EVIDENCIA 511,Victor Moreno,Corregido,Omar E,22/02/23,"1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-512,17/02/2023,Eden,Mobile,1.0.21,IOS 16.2,,N/A,Error,Media,"Error en la seccion de eden, datos funerarios","El error ocurre cuando el campo de ""Nombre y Apellido"" del fallecido, soporta numeros ","1.Ingresar a la app
2.Ubicar la opcion de eden
3.Crea un eden.",,EVIDENCIA 512,Victor Moreno,Corregido,Omar E,22/02/23,"1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-513,17/02/2023,Eden,Mobile,1.0.21,IOS 16.2,,N/A,Error,Alta,Error al momento de darle al boton de siguiente para enviar los datos funerarios,El error ocurre cuando se colocan los datos y se le da click al boton de siguiente y el mismo no hace nada.,"1.Ingresar a la app
2.Ubicar la opcion de eden
3.Crea un eden.",,EVIDENCIA 513,Victor Moreno,Corregido,Omar E,22/02/23,"1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-514,17/02/2023,Eden,Mobile,1.0.21,IOS 16.2,,N/A,Error,Alta,Error al momento de ver un eden ya creado,"El error ocurre cuando los botones de compartir un eden y editarlo , se observan que estan encima de la fecha e la informacion del eden","1.Ingresar a la app
2.Ubicar la opcion de eden
3.Crea un eden.",,EVIDENCIA 514,Victor Moreno,Corregido,Omar E,22/02/23,"1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-515,17/02/2023,Eden,Mobile,1.0.21,IOS 16.2,,N/A,Error,Alta,"Error al momento de denunciar un eden por ""Otro motivo""",El error ocurre cuando se va a colocar la informacion del motivo de la denuncia y el scroll no funciona.,"1.Ingresar a la app
2.Ubicar la opcion de Eden.
3.Denuncia.",,EVIDENCIA 515,Victor Moreno,,,,,,,
EDEN-516,17/02/2023,Eden,Mobile,1.0.21,IOS 16.2,,N/A,Error,Alta,Error al momento de generar un eden y darle multiples veces al boton de omitir la verificacion,"El error ocurre cuando al darle click multiples veces al boton de omitir la validacion , continua pero el modal de ""Puedes Omitir este paso"" se queda y no se quita","1.Ingresar a la app
2.Ubicar la opcion de Eden.
3.Crear eden.",,EVIDENCIA 516,Victor Moreno,Corregido,Omar E,22/02/23,"1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-517,17/02/2023,Arcas,Mobile,1.0.21,IOS 16.2,,N/A,Error,Alta,"Error al momento de colocar la descripcion del arca ""Memorias""",El error ocurre cuando se va a colocar la informacion en la descripcion y el scroll no funciona.,"1.Ingresar a la app
2.Ubicar la opcion de arcas.
3.Crear un arca en memorias.",,EVIDENCIA 517,Victor Moreno,,,,,,,
EDEN-518,17/02/2023,Arcas,Mobile,1.0.21,IOS 16.2,,N/A,Error,Alta,"Error al momento de enviar las llaves en la seccion de  arca ""Receta""",El error ocurre cuando se coloca gran cantidad de informacion en la descripción de la receta y 4 personas para enviar la llave y la misma siempre se queda cargando y no se envia.,"1.Ingresar a la app
2.Ubicar la opcion de arcas.
3.Crear un arca en recetas.",,EVIDENCIA 518,Victor Moreno,Corregido,Omar E,22/02/23,"1,0,23",SOLUCIONADO,Victor Moreno,
EDEN-519,22/02/2023,Creacion de cuenta,Mobile,1.0.22,Android 11,,N/A,Error,Media,Error en ver los terminos y condiciones en la vista movil ,Error esta en que la vista movil de los terminos y condiciones al momento de crear la cuenta la barra del menu se queda sin moverse y la informacion no se ve nada bien ,"1.Ingresar a la app
2.Ubicar la opcion de creacion de cuenta.
3.Crear una cuenta",,EVIDENCIA 519,Victor Moreno,Esta incidencia corresponde al landing en su modo responsive,Omar E,07/03/23,"1,0,27",,,
